completion_year	title	road_class_or_number	status	realization_from	realization_to	lat	lon	cost_ex_vat	total_cost	source_dataset	source_url
2024	Bojanov most ev.č. 337-028 Mostní provizorium	Silnice III. třídy	Dokončeno	07/2024	08/2024	49.8504	15.731163	3 178 556 Kč	4 416 511	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice - Časy, II/298 Sezemice - Choteč, oprava návozových tras	II/298	Dokončeno	14. 4. 2025	7. 5. 2025	50.076263	15.864464	3 839 596 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	D35 Opatovice - Časy, III/03324 křiž. II/333 - Pohřebačka, oprava návozových tras	Silnice III. třídy	Dokončeno	21. 10. 2024	19. 11. 2024	50.165096	15.770951	7 218 902 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice - Časy, III/29810 Sezemice - Dříteč - Bukovina n. L., oprava návozových tras, II. etapa	Silnice III. třídy	Dokončeno	9. 6. 2025	07/2025	50.096645	15.822081	4 287 058 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	D35 Opatovice - Časy, III/29815 Dražkov - Bohumileč, oprava návozových tras	Silnice III. třídy	Dokončeno	29. 7. 2024	25. 8. 2024	50.09389	15.850267	6 751 810 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice - Časy, III/29817 křiž. II/298 - Choteč, oprava návozových tras	Silnice III. třídy	Dokončeno	7. 5. 2025	25. 5. 2025	50.08139	15.875021	4 925 661 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	D35 Opatovice - Časy, III/29819 Dolní Ředice - Chvojenec, oprava návozových tras	Silnice III. třídy	Dokončeno	8. 7. 2024	15. 9. 2024	50.090305	15.91198	17 997 394 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice - Časy, III/29820 Bohumileč - Újezd u Sezemic - Borek, oprava návozových tras	Silnice III. třídy	Dokončeno	15. 9. 2025	11/2025	50.115818	15.857237	9 691 297 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	D35 Opatovice - Časy, III/29821 Rokytno - Chvojenec, oprava návozových tras	Silnice III. třídy	Dokončeno	12. 8. 2024	22. 9. 2024	50.11025	15.907474	6 988 590 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	D35 Opatovice - Časy, III/3053 Chvojenec - Vysoké Chvojno, oprava návozových tras	Silnice III. třídy	Dokončeno	5. 8. 2024	18. 8. 2024	50.109547	15.962937	4 308 987 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	D35 Opatovice - Časy, III/32253 Dašice - Dolní Ředice, oprava návozových tras	Silnice III. třídy	Dokončeno	06/2024	07/2024	50.045906	15.90774	10 901 102 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice - Časy, III/32259 Platěnice - železniční přejezd, oprava návozových tras	Silnice III. třídy	Dokončeno	4. 8. 2025	18. 8. 2025	50.00978	15.959226	2 261 162 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice - Časy, III/32271 křiž. III/32273 - Městec, oprava návozových tras	Silnice III. třídy	Dokončeno	22. 9. 2025	12. 10. 2025	49.97835	16.00938	1 988 888 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice - Časy, III/32274 Městec - Turov, oprava návozových tras	Silnice III. třídy	Dokončeno	22. 9. 2025	10/2025	49.98069	16.000952	3 783 375 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice - Časy, III/3237 Křičeň - Dolany - Podůlšany, oprava návozových tras	Silnice III. třídy	Dokončeno	7. 6. 2025	10/2025	50.114437	15.677061	24 360 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	D35 Opatovice - Časy, III/3239 Doubravice - Hrádek - Dolany, oprava návozových tras	Silnice III. třídy	Dokončeno	14. 6. 2024	2024	50.080894	15.72692	10 550 437 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice - Časy, III/III/29810 Sezemice - Dříteč - Bukovina n. L., oprava návozových tras, I. etapa	Silnice III. třídy	Dokončeno	8. 7. 2025	09/2025	50.07346	15.847718	17 342 103 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	D35 Opatovice nad Labem - Časy III/32269 Horní Roveň - dálnice D35, oprava návozových tras	Silnice III. třídy	Dokončeno	23. 6. 2025	10/2025	50.012302	15.99312	9 180 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Dolní Čermná, oprava silnice III/31415	Silnice III. třídy	Dokončeno	08/2023	09/2023	49.977436	16.566902	342 382 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Havárie mostu, opěrné zdi na silnici III/36620 u obce Jaroměřice, most ev.č.36620-1	Silnice III. třídy	Dokončeno	07/2023	11/2023	49.613873	16.76743	11 610 534 Kč	15 861 698 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Hlinsko II/343 ul. Rváčovská	II/343	Dokončeno	09/2022	06/2023	49.762638	15.894779	15 782 533 Kč	19 662 724 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	II/316 Běstovice - sanace sesuvu půdy	II/316	Dokončeno	05/2022	01/2023	50.025517	16.213772	5 808 555 Kč	10 741 781 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	II/322 OŽK	II/322	Dokončeno	15.12.2020	30.01.2021	50.0	14.7	1014596		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	II/357 Proseč - vj.brána+BUS zálivy	II/357	Dokončeno	04/2023	06/2023	49.796883	16.116123	4 020 756 Kč	4 865 115 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	II/368 - Křenov – Březina	II/368	Dokončeno	05/2024	06/2024	49.66479	16.633371	7 702 500 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	III/01427 Rybník, opěrná zeď	III/01427	Dokončeno	07/2025	12/2025	49.89065	16.469397	13 992 025 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	III/322 19 Mělice – II/333	Silnice III. třídy	Dokončeno	07/2022	09/2022	50.038853	15.621773		34 279 165 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	III/337 48, III/337 50, III/337 51 Kostelec u Heřmanova Městce	Silnice III. třídy	Dokončeno	11/2022	08/2023	49.928074	15.65187	17 643 818 Kč	23 509 664 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	III/35520 Louka – Habroveč	Silnice III. třídy	Dokončeno	09.09.2021	30.09.2021	50.0	14.7	2400000		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Jevíčko II/366 ul. Třebízská	II/366	Dokončeno	05/2024	05/2024	49.63322	16.710785	5 883 046 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Křižovatka II/355 x III/2983 Černá za Bory	Silnice III. třídy	Dokončeno	10/2024	11/2024	50.024925	15.828546	1 141 612 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Litomyšl - obnova krytu silnice III/36016	Silnice III. třídy	Dokončeno	08/2024	10/2024	49.884453	16.293291	3 861 354 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Městys Choltice - opěrná zeď u silnice III/3429	Silnice III. třídy	Dokončeno	04/2025	06/2025	49.98905	15.62897	909 091 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Modernizace II/324 Staré Hradiště – Hrobice (průtah)	II/324	Dokončeno	07/2024	12/2025	50.089817	15.785055	125 803 580 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Modernizace mostu ev. č. 317-005A Choceň	II/317	Dokončeno	2. 5. 2023	12/2023	50.00019	16.226725	44 495 672 Kč	54 015 248 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Modernizace mostu ev. č. 322-011 Trnávka	II/322	Dokončeno	08/2020	12/2022	50.03195	15.443686		16 204 838 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Modernizace mostu ev. č. 322-014 Chvaletice	II/322	Dokončeno	05/2023	12/2023	50.030083	15.46422	38 285 108 Kč	47 694 529 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Modernizace mostu ev. č. 333 - 003 Přelouč	II/333	Dokončeno	04/2021	08/2021	50.04348	15.573978	33 442 875 Kč	42 851 176 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Modernizace mostu ev. č. 357-009A Nové Hrady	II/357	Dokončeno	05/2024	09/2024	49.849163	16.131958	10 443 043		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Modernizace mostu ev. č. 357-010 Nové Hrady	II/357	Dokončeno	05/2024	09/2024	49.848717	16.132004	12 969 556		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Modernizace mostu ev. č. 358-010 Polanka	II/358	Dokončeno	09/2023	11/2023	49.844814	16.127268	10026955		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Modernizace mostu ev. č. 358-014 Višňáry	Silnice III. třídy	Dokončeno	04/2021	07/2021	49.87266	16.264265	10 518 928 Kč	13 641 756 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Modernizace mostu ev. č. 360-007 Dolní Dobrouč	II/360	Dokončeno	04/2021	07/2021	50.004585	16.470474	10 068 165 Kč	13 251 927 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Modernizace mostu ev. č. 360-014 Řetůvka	II/360	Dokončeno	07/2022	11/2022	49.953526	16.35995	15 267 558 Kč	19 891 797 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Modernizace mostu ev. č. 360-016 Němčice	II/360	Dokončeno	04/2021	08/2021	49.892506	16.329433	9 030 969	12 419 583 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Modernizace mostu ev. č. 360 - 017 - Němčice	II/360	Dokončeno	06/2022	10/2022	49.892025	16.328642	10 117 509 Kč	13 016 950 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Modernizace silnice II/310 Letohrad, K Cihelně	II/310	Dokončeno	06/2024	10/2024	50.039997	16.490196	24 716 286 Kč	33 212 296 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Modernizace silnice II/312 Choceň – České Libchavy	II/312	Dokončeno	03/2023	10/2024	50.020832	16.310774	199 178 164 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Modernizace silnice II/315 Hrádek - Ústí nad Orlicí	II/315	Dokončeno	10/2021	08/2023	49.968204	16.37241	58 838 527 Kč	94320672	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
